epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,422.306,2.61693,4.92313,1.75734,0,0,0,0,2.01138,4.96427,1.3652,0.000147675,0.000147675,0.000147675
2,911.964,1.88566,4.25656,1.28997,0.0326,0.10402,0.02387,0.00939,1.87286,4.64804,1.30803,0.000293415,0.000293415,0.000293415
3,1291.67,1.74188,3.55966,1.2243,0.59487,0.10678,0.05164,0.02862,1.76131,3.73778,1.32232,0.000433149,0.000433149,0.000433149
4,1620.97,1.65451,2.99013,1.1893,0.4506,0.18037,0.12388,0.0715,1.60672,3.08334,1.28054,0.000427973,0.000427973,0.000427973
5,1911.97,1.62124,2.65065,1.18221,0.41534,0.18421,0.17902,0.11141,1.47169,2.67487,1.17268,0.000418964,0.000418964,0.000418964
6,2201.56,1.50112,2.32121,1.13468,0.46015,0.27446,0.23437,0.14192,1.45213,2.48361,1.15601,0.000409955,0.000409955,0.000409955
7,2511.96,1.50282,2.19572,1.14662,0.48812,0.27887,0.25763,0.15733,1.40743,2.3867,1.15439,0.000400946,0.000400946,0.000400946
8,2868.44,1.4475,2.11021,1.11535,0.54367,0.27659,0.29785,0.17692,1.39135,2.23426,1.13236,0.000391937,0.000391937,0.000391937
9,3229.07,1.45075,2.04697,1.12065,0.52076,0.35522,0.33001,0.20083,1.34569,2.12966,1.1129,0.000382928,0.000382928,0.000382928
10,3596.94,1.39697,1.93293,1.10859,0.49281,0.34383,0.33279,0.19272,1.41926,2.1098,1.11479,0.000373919,0.000373919,0.000373919
11,3907.19,1.39128,1.8855,1.093,0.55713,0.37015,0.36115,0.22076,1.337,2.0284,1.10597,0.00036491,0.00036491,0.00036491
12,4188.66,1.37154,1.84904,1.07694,0.54275,0.37422,0.36436,0.22313,1.32202,2.00687,1.10567,0.000355901,0.000355901,0.000355901
13,4470.02,1.32521,1.76035,1.0672,0.58512,0.37521,0.38953,0.24419,1.31138,1.93363,1.10179,0.000346892,0.000346892,0.000346892
14,4751.08,1.34653,1.74293,1.07317,0.54447,0.40918,0.40202,0.25463,1.28307,1.93206,1.09327,0.000337883,0.000337883,0.000337883
15,5031.64,1.30068,1.6744,1.05843,0.59209,0.4124,0.41406,0.2596,1.28044,1.85661,1.08238,0.000328874,0.000328874,0.000328874
16,5311.21,1.34189,1.66259,1.07124,0.54313,0.41824,0.41768,0.26028,1.30054,1.81735,1.09037,0.000319865,0.000319865,0.000319865
17,5590.57,1.29514,1.61808,1.05296,0.61662,0.41479,0.4208,0.26436,1.26108,1.78494,1.06861,0.000310856,0.000310856,0.000310856
18,5952.59,1.27723,1.59834,1.05395,0.64353,0.42862,0.44756,0.28051,1.25879,1.74286,1.0532,0.000301847,0.000301847,0.000301847
19,6364.98,1.28021,1.57438,1.04898,0.64227,0.40233,0.4452,0.27806,1.25002,1.72866,1.04501,0.000292838,0.000292838,0.000292838
20,6778.81,1.28615,1.54171,1.04762,0.57274,0.46593,0.47737,0.30354,1.21076,1.63504,1.03977,0.000283829,0.000283829,0.000283829
